banco;comercio;tipo;descuento;descuento_pct;tope;dias;horario;lugares;tarjetas;modalidad;region;vigencia;url;condiciones
BCI;Wendys;;30% dcto · Todos los miércoles;30;;Miércoles;;;Exclusivo con tus Tarjetas de Crédito o Débito Bci.;;;2026-01-01 → 2027-01-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-miercoles-en-combo-boconator-doble-zqw9icg;Obtén un 30% de dcto todos los miércoles en tu combo Baconator doble presencial en locales Wendys Chile. Descuento válido presentando esta promoción y pagando con tus  Tarjetas de Débito o Crédito Bci. /  / Legal: Descuento no acumulable con otras promociones vigentes. Válido por todos los miércoles de Octubre 2025. Descuento válido solo en Combo Baconator Doble utilizando esta comunicación en caja y realizando el pago con tus Tarjetas de Crédito y Débito de Bci. Un uso por usuario el día de promoción. No incluye costo de envío y la promoción es válida solo de forma presencial. Infórmate sobre la garantía estatal de los depósitos en tu banco y las entidades autorizadas para emitir tarjetas de pago en Chile. Revisa quienes se encuentran inscritas en los Registros de Emisores de Tarjetas en www.cmfchile.cl. Los productos y servicios no bancarios adquiridos son de exclusiva responsabilidad de los proveedores de los mismos, no cabiéndole al banco intervención alguna en su entrega o en la ulterior atención que ellos demanden.
BCI;Restaurante República de Arica;;20% dcto · Lunes y jueves;20;$40.000;Lunes, Jueves;;Restaurante República de Arica, Arica y Parinacota;Exclusivo con tus tarjetas de Crédito o Débito Bci;Presencial;Región Arica y Parinacota;2026-01-01 → 2026-10-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/lunes-y-jueves-arica-xqpmh7;20% de descuento con tope de $40.000 por cliente al día. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci, con un tope de $40.000 por cliente al día. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;Pastamore;;20% dcto · Todos los martes;20;$20.000;Martes;;Pastamore, Vitacura;Exclusivo con tus tarjetas de Crédito o Débito Bci.;Presencial;Región Metropolitana;2026-05-01 → 2026-10-01;https://www.pastamore.cl/;20% de descuento con tope de $20.000 por cliente al día. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci con un tope de $20.000 por cliente al día. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;La Hacienda Talca;;40% dcto · Todos los miércoles;40;$40.000;Miércoles;;La Hacienda Talca, Maule;Exclusivo con tus Tarjetas de Crédito Bci.;Presencial;Región Maule;2026-05-11 → 2026-10-01;https://www.lahaciendarestaurant.cl/;40% de descuento con tope de $40.000 al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $40.000 pagando con Tarjetas de Crédito Bci. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;Danubio Azul;;40% dcto · Todos los miércoles;40;$40.000;Miércoles;;Danubio Azul, Las Condes;Exclusivo con tus tarjetas de Crédito Bci.;Presencial;Región Metropolitana;2026-06-01 → 2026-10-01;https://danubioazul.cl/;40% de descuento con tope de $40.000 al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $40.000 pagando con Tarjetas de Crédito Bci. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;La Hacienda de Machalí;;40% dcto · Todos los viernes;40;$40.000;Viernes;;;Exclusivo con tus tarjetas Bci Visa Siganture, Visa Infinite y Mastercard Black;Presencial;;2026-06-01 → 2026-10-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/disfruta-los-viernes-a0kuqia;Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Líder Bci. /  / Legal: Promoción exclusiva para personas naturales que paguen con sus Tarjetas de Crédito Visa Signature, Visa Infinite y Mastercad Black en los establecimientos en campaña. / 40% de descuento en el total de la cuenta,con un tope máximo de descuento de $40.000. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos.Descuento no aplica sobre el costo de propina.  / El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bcien ello ni en la ulterior atención que se demande. / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;Blind Bar;Aprovecha en Calama;20% dcto · Martes y miércoles;20;$20.000;Martes, Miércoles;;Blind Bar, Calama;Exclusivo con tus Tarjetas de Crédito o Débito Bci.;Presencial;Región Calama;2026-07-01 → 2026-10-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/aprovecha-los-martes-y-miercoles-en-calama-vtspos;20% de descuento con tope de $20.000 por cliente al día. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci, con un tope de $20.000 por cliente al día. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;China 365;Lo Barnechea;20% dcto · Lu - Mi - Ju - Vi;20;Sin tope;Lunes, Martes, Miércoles, Jueves, Viernes;;China 365, Lo Barnechea;Exclusivo con tus Tarjetas de Crédito o Débito Bci.;Presencial;Región Metropolitana;2026-07-01 → 2026-09-30;https://www.china365.cl/;20% de descuento sin tope al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci sin tope. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;Danubio Azul;Una experiencia oriental en Las Condes;20% dcto · Lunes, martes y miércoles;20;$40.000;Lunes, Martes, Miércoles;;Danubio Azul, Las Condes;Exclusivo con tus Tarjeta de Crédito o Débito Bci.;Presencial;Región Metropolitana;2026-07-01 → 2026-10-01;https://danubioazul.cl/;20% de descuento con tope de $40.000 por cliente al día. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci con un tope de $40.000 por cliente al día. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;Punto País;Disfruta de la mejor comida en Nunoa;20% dcto · Martes y miércoles;20;$100.000;Martes, Miércoles;;Punto País, Ñuñoa;Exclusivo con tus tarjetas de Crédito o Débito Bci.;Presencial;Región Metropolitana;2026-07-01 → 2026-10-01;https://puntopais.cl/;20% de descuento con tope de $100.000 por cliente al día. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci con un tope de $100.000 por cliente al día. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
